"id","year","wage","exper","school","union_d","married_d","health_d","black_d","hisp_d"
13,1980,1.1975402046,1,14,0,0,0,0,0
13,1981,1.8530599951,2,14,1,0,0,0,0
13,1982,1.3444616775,3,14,0,0,0,0,0
13,1983,1.4332133359,4,14,0,0,0,0,0
13,1984,1.5681250801,5,14,0,0,0,0,0
13,1985,1.6998909418,6,14,0,0,0,0,0
13,1986,-0.720262576,7,14,0,0,0,0,0
13,1987,1.6691879168,8,14,0,0,0,0,0
17,1980,1.6759624043,4,13,0,0,0,0,0
17,1981,1.5183982018,5,13,0,0,0,0,0
17,1982,1.5591904773,6,13,0,0,0,0,0
17,1983,1.7254100887,7,13,0,0,0,0,0
17,1984,1.6220223205,8,13,0,0,0,0,0
17,1985,1.6085882735,9,13,0,0,0,0,0
17,1986,1.5723854135,10,13,0,0,0,0,0
17,1987,1.8203338562,11,13,0,0,0,0,0
18,1980,1.5159627486,4,12,0,1,0,0,0
18,1981,1.7353791358,5,12,0,1,0,0,0
18,1982,1.6317436699,6,12,0,1,0,0,0
18,1983,1.9982288111,7,12,0,1,0,0,0
18,1984,2.1840142196,8,12,0,1,0,0,0
18,1985,2.2666622392,9,12,0,1,0,0,0
18,1986,2.06994393,10,12,0,1,0,0,0
18,1987,2.8731607212,11,12,0,1,0,0,0
45,1980,1.8941149806,2,12,1,0,0,0,0
45,1981,1.4711592831,3,12,1,0,0,0,0
45,1982,1.473497492,4,12,0,0,0,0,0
45,1983,1.7409142752,5,12,0,0,0,0,0
45,1984,1.8232137137,6,12,0,0,0,0,0
45,1985,1.9082728567,7,12,0,0,0,0,0
45,1986,1.7424473634,8,12,0,0,0,0,0
45,1987,2.1356889155,9,12,0,1,0,0,0
110,1980,1.9487748545,5,12,1,0,0,0,0
110,1981,1.9622592871,6,12,0,0,0,0,0
110,1982,1.9632968251,7,12,0,0,0,0,0
110,1983,2.2025156325,8,12,0,0,0,0,0
110,1984,2.1349542516,9,12,0,1,0,0,0
110,1985,2.1258228201,10,12,0,1,0,0,0
110,1986,1.9910166714,11,12,0,1,0,0,0
110,1987,2.1123933529,12,12,0,1,0,0,0
120,1980,0.2585548628,2,10,0,0,0,0,0
120,1981,1.3199717182,3,10,0,0,0,0,0
120,1982,1.4620852871,4,10,0,0,0,0,0
120,1983,1.3202869194,5,10,0,0,0,0,0
120,1984,1.7036465563,6,10,0,0,0,0,0
120,1985,1.4458032056,7,10,0,0,0,0,0
120,1986,1.8063640995,8,10,0,0,0,0,0
120,1987,2.1481201768,9,10,0,0,0,0,0
126,1980,1.7372854886,2,13,0,0,0,0,0
126,1981,1.9896008377,3,13,0,0,0,0,0
126,1982,2.189916837,4,13,0,0,0,0,0
126,1983,1.8554632169,5,13,0,0,0,0,0
126,1984,1.9224377929,6,13,0,0,0,0,0
126,1985,2.0610239562,7,13,0,1,0,0,0
126,1986,1.7822016235,8,13,0,1,0,0,0
126,1987,2.4146815778,9,13,0,1,0,0,0
150,1980,1.2087353007,2,12,0,0,0,0,0
150,1981,1.1940396628,3,12,0,0,0,0,0
150,1982,1.1704405715,4,12,0,0,0,0,0
150,1983,1.0979644985,5,12,0,0,0,0,0
150,1984,0.7658161885,6,12,0,0,0,0,0
150,1985,1.119025979,7,12,0,0,0,0,0
150,1986,1.1193667201,8,12,0,0,0,0,0
150,1987,0.8314595075,9,12,1,0,0,0,0
162,1980,0.502470152,2,11,1,0,0,0,0
162,1981,1.0649123702,3,11,0,0,0,0,0
162,1982,1.1894979432,4,11,0,0,0,0,0
162,1983,1.5398885292,5,11,0,0,0,0,0
162,1984,1.5982860406,6,11,0,0,0,0,0
162,1985,1.7373206923,7,11,0,0,0,0,0
162,1986,1.9884558505,8,11,0,0,0,0,0
162,1987,2.1586784338,9,11,0,0,0,0,0
166,1980,1.0052940055,2,10,1,0,0,0,0
166,1981,0.9376873709,3,10,1,0,0,0,0
166,1982,1.3674877048,4,10,1,0,0,0,0
166,1983,1.3780087815,5,10,1,0,0,0,0
166,1984,1.1701834812,6,10,1,0,0,0,0
166,1985,1.7282214484,7,10,0,0,0,0,0
166,1986,1.7098647498,8,10,0,1,0,0,0
166,1987,1.8510747855,9,10,0,1,0,0,0
189,1980,1.1305453358,2,14,0,0,0,0,0
189,1981,0.8362480242,3,14,0,0,0,0,0
189,1982,1.4673598138,4,14,0,0,0,0,0
189,1983,1.0714836213,5,14,0,0,0,0,0
189,1984,1.4459194826,6,14,0,0,0,0,0
189,1985,1.6851163479,7,14,0,0,0,0,0
189,1986,1.6861749787,8,14,0,0,0,0,0
189,1987,1.7551303466,9,14,0,0,0,0,0
193,1980,1.5656918952,2,14,0,0,0,0,0
193,1981,2.4938753198,3,14,0,0,0,0,0
193,1982,1.822662074,4,14,0,0,0,0,0
193,1983,2.3803360564,5,14,0,0,0,0,0
193,1984,2.2171284955,6,14,0,0,0,0,0
193,1985,2.2720314362,7,14,0,1,0,0,0
193,1986,2.3537987319,8,14,0,1,0,0,0
193,1987,2.4294500341,9,14,0,1,0,0,0
209,1980,1.9180031958,3,11,0,0,0,0,0
209,1981,0.7654077478,4,11,0,0,0,0,0
209,1982,1.9781854376,5,11,0,0,0,0,0
209,1983,1.94855364,6,11,0,0,0,0,0
209,1984,2.0370259376,7,11,0,0,0,0,0
209,1985,1.9025748356,8,11,0,0,0,0,0
209,1986,1.9726036563,9,11,0,0,0,0,0
209,1987,2.1869822099,10,11,0,0,0,0,0
212,1980,1.7844718032,2,11,0,0,0,0,0
212,1981,2.1799827709,3,11,0,0,0,0,0
212,1982,1.9638653838,4,11,1,0,0,0,0
212,1983,2.044932767,5,11,0,0,0,0,0
212,1984,2.0128613106,6,11,0,0,0,0,0
212,1985,2.0969857427,7,11,0,0,0,0,0
212,1986,2.1439661499,8,11,0,1,0,0,0
212,1987,2.241284366,9,11,1,1,0,0,0
218,1980,2.0133133756,2,15,0,0,0,0,0
218,1981,1.9621524552,3,15,0,0,0,0,0
218,1982,2.2756410219,4,15,0,0,0,0,0
218,1983,2.1949175631,5,15,0,1,0,0,0
218,1984,2.4283372983,6,15,0,1,0,0,0
218,1985,2.7230369434,7,15,0,1,0,0,0
218,1986,2.9663963196,8,15,0,1,0,0,0
218,1987,3.065051729,9,15,0,1,0,0,0
243,1980,1.5641813208,4,12,0,0,0,0,0
243,1981,1.6835458846,5,12,0,0,0,0,0
243,1982,1.6905033652,6,12,0,0,1,0,0
243,1983,1.6608715675,7,12,0,1,0,0,0
243,1984,1.6980505708,8,12,0,1,0,0,0
243,1985,1.6717682341,9,12,0,1,0,0,0
243,1986,1.6357175299,10,12,0,1,0,0,0
243,1987,1.7869709525,11,12,0,1,0,0,0
259,1980,2.1071895765,3,12,1,1,0,0,0
259,1981,2.0890109927,4,12,1,1,0,0,0
259,1982,2.0427239587,5,12,1,1,0,0,0
259,1983,1.3081557728,6,12,1,1,0,0,0
259,1984,1.4881522462,7,12,0,1,0,0,0
259,1985,1.5428182251,8,12,0,1,0,0,0
259,1986,1.5351347212,9,12,0,1,0,0,0
259,1987,1.4543355231,10,12,0,1,0,0,0
260,1980,1.6299120417,2,11,1,0,0,0,0
260,1981,1.7751130781,3,11,1,0,0,0,0
260,1982,1.9672563671,4,11,0,0,0,0,0
260,1983,2.0751862909,5,11,0,1,0,0,0
260,1984,2.1288334869,6,11,0,1,0,0,0
260,1985,2.2684191505,7,11,0,1,0,0,0
260,1986,1.9921390959,8,11,0,1,0,0,0
260,1987,2.4215544571,9,11,0,1,0,0,0
309,1980,1.7860756528,3,12,0,0,0,0,0
309,1981,2.2807660456,4,12,0,0,0,0,0
309,1982,2.2642662287,5,12,0,0,0,0,0
309,1983,2.2754564256,6,12,0,1,0,0,0
309,1984,2.2081324236,7,12,0,1,0,0,0
309,1985,2.1998524173,8,12,0,1,0,0,0
309,1986,2.2068999835,9,12,0,1,1,0,0
309,1987,2.476866911,10,12,0,1,0,0,0
351,1980,1.643386879,3,12,0,0,0,0,0
351,1981,1.3355804258,4,12,0,0,0,0,0
351,1982,1.5228178362,5,12,0,1,1,0,0
351,1983,1.4188513626,6,12,0,1,0,0,0
351,1984,0.9039274729,7,12,0,1,1,0,0
351,1985,1.8885640985,8,12,0,1,0,0,0
351,1986,1.7834496472,9,12,0,1,0,0,0
351,1987,1.6980083554,10,12,0,1,0,0,0
353,1980,1.8381972025,3,12,0,0,0,0,0
353,1981,1.8170772772,4,12,1,0,0,0,0
353,1982,1.6717402666,5,12,0,0,0,0,0
353,1983,1.5728305011,6,12,0,0,0,0,0
353,1984,1.6825463843,7,12,0,0,0,0,0
353,1985,1.5836402196,8,12,0,0,0,0,0
353,1986,1.7732931875,9,12,0,0,0,0,0
353,1987,1.8610789246,10,12,0,0,0,0,0
383,1980,1.4628881791,2,12,0,0,0,1,0
383,1981,1.5702171993,3,12,0,0,0,1,0
383,1982,1.6566018135,4,12,1,0,0,1,0
383,1983,1.7254100887,5,12,0,0,0,1,0
383,1984,1.7721585429,6,12,0,0,0,1,0
383,1985,2.0110842344,7,12,0,0,0,1,0
383,1986,1.9910166714,8,12,0,0,0,1,0
383,1987,1.9520507029,9,12,0,0,0,1,0
408,1980,1.6520949229,2,11,0,0,0,0,0
408,1981,1.4895349843,3,11,0,1,0,0,0
408,1982,1.8811757012,4,11,0,1,0,0,0
408,1983,2.0610316234,5,11,0,1,0,0,0
408,1984,2.4888362209,6,11,1,1,0,0,0
408,1985,2.43093808,7,11,1,1,0,0,0
408,1986,2.5345603867,8,11,1,1,0,0,0
408,1987,2.0696025092,9,11,1,1,0,0,0
424,1980,2.1658393597,5,12,0,1,0,0,0
424,1981,2.3253997708,6,12,0,1,0,0,0
424,1982,2.3836505457,7,12,0,1,0,0,0
424,1983,2.3372116298,8,12,0,1,0,0,0
424,1984,2.4125075379,9,12,0,1,0,0,0
424,1985,2.3841459185,10,12,0,1,0,0,0
424,1986,2.3520300169,11,12,0,1,0,0,0
424,1987,2.5777566026,12,12,0,1,0,0,0
464,1980,0.9726262551,2,13,0,0,0,0,0
464,1981,1.0031044999,3,13,0,0,0,0,0
464,1982,1.0996350337,4,13,0,1,0,0,0
464,1983,1.2145844649,5,13,0,1,0,0,0
464,1984,1.3192417615,6,13,0,1,0,0,0
464,1985,1.3897424827,7,13,0,1,0,0,0
464,1986,1.5735380116,8,13,0,1,0,0,0
464,1987,1.9006997178,9,13,0,1,0,0,0
483,1980,1.6826270761,5,12,0,0,0,0,0
483,1981,1.661706341,6,12,0,0,0,0,0
483,1982,1.7550418863,7,12,0,0,0,0,0
483,1983,1.7534507488,8,12,1,0,0,0,0
483,1984,1.6180078631,9,12,0,0,0,0,0
483,1985,1.6481787408,10,12,0,0,0,0,0
483,1986,1.7458942134,11,12,0,0,0,0,0
483,1987,1.7270818953,12,12,0,0,0,0,0
556,1980,1.9393454693,2,14,0,0,0,0,0
556,1981,2.1202635362,3,14,0,0,0,0,0
556,1982,2.1605069944,4,14,0,0,0,0,0
556,1983,2.4892541145,5,14,0,0,0,0,0
556,1984,2.3756935648,6,14,0,0,0,0,0
556,1985,2.2958867101,7,14,0,0,0,0,0
556,1986,2.2990901592,8,14,0,0,0,0,0
556,1987,2.5818793647,9,14,0,0,0,0,0
560,1980,1.3868473056,2,12,0,0,0,0,0
560,1981,2.127581917,3,12,0,0,0,0,0
560,1982,0.9688702001,4,12,0,0,0,0,0
560,1983,1.1635989102,5,12,0,0,0,0,0
560,1984,1.3566190608,6,12,0,0,0,0,0
560,1985,1.4162533501,7,12,0,0,0,0,0
